ext_id,current_name,former_name,type,document,district,guide_area,year_1956,year_1946,year_1940,year_1936,uuid
798,Taborului,Prelung. Str.Taborului-Cosmonauţilor,str.,HCL 68/2003,Balta Verde,Z5,,,,,c59c17e9-4856-4551-b817-408b2e51bf9d
799,Tacit,Tacit,str.,,Ronaţ-Balta Verde,"Z 4, A 4",Tacit,Tacit,Tacit,Tacit,8228bc65-9c36-43c8-a694-6d33f7ae54af
963,Take Ionescu,Sălăjan Leontin,bv.,DEC.260/1990,Tipogr. Medicinei,"F3, E3",Eroilor de la Stalingrad,Take Ionescu,,Take Ionescu,93ecc547-2b20-4468-8a8b-9f70c07b5410
800,Talăngii,Talăngii,intr.,,Dâmboviţa,A 8,,,,,8eaec35f-fea8-4ebb-adee-80d71cd7ba42
801,Tapia,Tapia,str.,,Tipografilor,E3,Tapia,Tapia,Neptun,Tapia,5c86344c-7857-493f-8920-dcc371c67902
820,Târgu Mureş,Târgu Mureş,str.,,Kuncz,H6,Târgu Mureş,Târgu Mureş,,,d316ed4b-9ea1-489b-835f-0970969a9821
1199,Tata Oancea,Soveja (Dr. P. Groza 1980),str.,HCJ 23/1993,Plopi,I5,,,,,059af930-7b3a-4efd-92f0-d645eda869b9
802,Tazlău,Tazlău,str.,,Ronaţ,"Y3, Z3",Săvulescu,Săvulescu,Săvulescu,Săvulescu,e1bac618-c8b0-432d-8425-5550764e50bf
803,Teatrului,Teatrului,str.,,Dâmboviţa,A8,,,,,573f9b9d-3b5f-4a8b-b32f-3079c648d1a0
805,Teiului,Teiului,str.,,Circumv.Ii-Iv,"C2, C3",,,,,4883acec-30a8-4ad7-bcc1-81276d5ce787
806,Telegrafului,Telegrafului,str.,,Kogăln.-Telegrafului,"F2, G2",,,,,cbc3578b-1286-4c43-9380-44e94749d64d
2203,Teodor Bucurescu,Str. Nouă,str.,HCL 53/2006,Urseni-Legumiculturii,,,,,,86384a9d-d269-43bd-ad47-d30b0b14f6ef
2205,Teodor Gârneţ,Str. Nouă,str.,HCL 53/2006,Aeroport,,,,,,09fea12c-6268-47bb-bc3d-1e6b689a308f
518,Teodor Mihaly,Mihaly Teodor,alee,,Tipografilor,"E3, E4",Mihaly Teodor,Mihaly Teodor,Mihaly Teodor,Mihaly Teodor,99d1514c-cdb9-452b-87b0-7f4a697a2ba0
2194,Teodor Ungureanu,Intr. Nouă,intr.,HCL 498/2006,Plopi Sud,,,,,,9b9a51ec-4088-4252-97ce-5abdf74858f7
284,Teodor V. Păcăţean,Echităţii,str.,HCJ 23/1993,C.Martirilor,"E8, E9",,,,,37c565de-8c0d-467a-a025-ee00e71865c9
19,Theodor Aman,Aman Theodor,str.,,Ronaţ,"Z3, Z4",Aman Theodor,Aman Theodor,,,646d87d9-3c02-4f5c-97f6-032cf74fc78d
599,Theodor Pallady,Pallady Theodor,str.,,Cirda Roşie,"H9, H10",Palady,,,,03593741-005b-440a-8456-6ac4eece5aee
2007,Tiberiu Brediceanu,Perpendiculară Pe Str.Arh.V.Vlad Şi Pe Str. Arh.D.Marcu,alee,HCJ 5/2000,Steaua,B10,,,,,6dc24515-2f5a-400a-8522-5d1dd2664f94
1243,Tiberiu Timişan Pop,Str.Nouă,intr.,HCL 151/2001,Baba Dochia,I4,,,,,a7f2d8b5-0cea-4eee-85c3-4bddefa0deaf
809,Tibiscum,Tibiscum,str.,,Telegrafului,G2,,,,,3dacbc16-374f-4967-97bc-a4ac3ed3838d
810,Tibrului,Tibrului,str.,,Ronaţ,"Z3, Z4",Tibrului,Tibrului,Tibrului,Tibrului,f8654494-9123-4962-8611-91dabc88b068
811,Tigrului,Tigrului,str.,,Lunei,"G4, G5",Tigrului,Tigrului,Bontilă Preot,Tigrului,bf544adb-03a8-4c0d-8a77-c9b7e43637f1
813,Timiş,Timiş,str.,,Circumv.Ii-Iv,"C2, C3",,,,,4346153d-5b61-4635-8158-ef82e144e6a5
814,Timocului,Timocului,str.,,"Fabric, Timocului",F3,Timocului,Timocului,Timocului,Timocului,e54c2f57-4f06-4268-a2a4-13057b610d3c
181,Timotei Cipariu,Cipariu Timotei,str.,,Elisabetin,C5,Cipariu Timotei,Cipariu Timotei,,Cipariu Timotei,3837772e-39bf-48b1-ac73-5568d729e7c8
2027,Timotei Popovici,Str. Nouă,intr.,HCJ 5/2000,Steaua,B 10,,,,,50ddf6bb-53b3-4eaa-987c-c265c81f2147
1202,Tineretului,Ceaikovski P.I.,piaţă,HCJ 23/1993,Stadion,E6,Ceaikovski,Dimitrie Sfânt,,Dimitrie Sfânt,2d3a4871-20e9-43af-9c51-e3a2f7f0fb5f
817,Titan,Titan,str.,,Tipografilor,"E2, E3",Titan,Titan,Titan,Ztitan,c0559369-9572-42cd-bf77-9dfa190cbe14
1203,Titu Maiorescu,Mussorgski Modest Pert.,str.,HCJ 23/1993,Fabric,"F4, G4",Mussorgski Modest Petrovici,Maiorescu Titu,Maiorescu Titu,Maiorescu Titu,ea006fd3-89ed-43ea-9f43-5578e2887202
2292,Titus Livius,Nou Proiectată,str.,HCL143/2012,Ronaţ,"Z4,A4",,,,,a05d2e9f-d250-4839-8f94-79ff845d2e7f
824,Topliţa,Topliţa,str.,,Blaşcovici,C4,Nagy,Peleş,Topliţa,Peleş,bb3b65a4-440b-48b8-9f4e-e3f489e555bd
825,Topologului,Topologului,intr.,,Dorobanţilor,G2,,,,,7842ad40-0273-4bf4-a8b2-b2c2adb89c76
2180,Toporaşilor,Str.Nouă Între Str.Petuniei Şi Dafinului,str.,HCL 498/2006,Urseni-C. Buziaşului,,,,,,9eeaf5e8-1583-41b2-947b-94ba51d0b95d
826,Torac,Torac,str.,,Lunei,"G5, G6",Torac,Torac,,Torac,d549e945-11e9-4f73-bad7-98ad72ff09bb
2199,Torino,Str. Nouă,str.,HCL53/2006,C.Şagului -Dn59Km7,,,,,,b8ac2f3b-3266-4606-8424-068c48b79a25
827,Torontalului,Torontalului,cale,,Circ-Bucov-Arad-Alex.,"B I,CI,C1,C2",Torontalului,Torontalului,Torontalului,Torontalului,a6009ca8-ad7a-4f6b-b186-d1825c20573f
2066,Tosca,Str. Nouă,str.,HCL 151/2001,Lidia-Mureş-Muzicescu,"H9, H10",,,Traian,,03108bcb-5367-486f-b448-a757427e51b8
828,Traian,Traian,piaţă,,Fabric,F3,Traian,Traian,,Traian,f58affe5-6e79-4a3d-b40f-ad3768e862a2
253,Traian Demetrescu,Demetrescu Traian,str.,,Plopi,"I5, I6",Demetrescu,,,,ace24438-d6aa-4f0f-9fda-67c8854e9b4b
360,Traian Grozăvescu,Grozăvescu Traian,str.,,Loga,"E4, F4",Grozăvescu Traian,Grozăvescu Traian,,Grozăvescu Traian,9af32269-0490-4ce1-bad9-6f0dcad03b6b
420,Traian Lalescu,Lalescu Traian,str.,,Campus Universitar,"D5, D6",Lalescu Traian,Lalescu Traian,,Lalescu Traian,cf80ec2f-3e96-49ae-8c0e-dca0ac65356a
816,Traian Novac,Tipografilor,str.,HCJ 23/1993,Circumv.Ii-Iv,"C2, C3",,,,,7f7df272-a192-4563-a2bb-8fcf77d065f5
747,Traian Simu,Simu Ioan,str.,HCJ 23/1993,Ciarda Roşie,H9,Simu Ioan,,,,19272614-f59f-4b0e-9dac-d36591e70cd5
907,Traian Vuia,Vuia Traian,str.,,Rusu Şireanu,"D7, D8",Vuia Traian,Scudier,"Ormoş, Scudier",Ormoş,98f1f354-294e-4653-b244-e55b6e2b343a
830,Transilvania,Transilvania,str.,,Dâmboviţa,"B7, B8",Transilvania,Transilvania,Transilvania,Transilvania,9f40a111-f01f-4a60-a461-651dbeac0250
2070,Traviata,Str. Nouă,str.,HCL 151/2001,Lidia-Mureş-Muzicescu,"G9, G10",,,,,99f1b613-7459-41ce-8f0f-d1d9a24237e4
832,Trifoiului,Trifoiului,str.,,Ronaţ,Z5,Trifoiului,,,,d1b74262-071f-4311-b70b-6e279e124367
2113,Tristan Tzara,Str. Nouă,str.,HCL 57/2004,"C. Aradului, Sere",,,,,,b245f9c5-d6e3-4fe8-a213-55457365be59
2113,Tristan Tzara,Se Prelungeşte Str. Tristan Tzara,str.,HCL 355/2008,"C. Aradului, Sere",,,,,,3d4783ae-3d28-4d64-9c0d-84744acd317a
2144,Tudor Arghezi,Perpendiculară Pe Armoniei 2-4,str.,HCL 169/2004,Lipovei-Armoniei,,,,,,e02c7f45-d586-4aae-a9f2-2133aa9e6dab
897,Tudor Vladimirescu,Vladimirescu Tudor,splai,,Elisabetin-Iosefin,"D5, C5, B5,",Vladimirescu Tudor,Vladimirescu Tudor,Vladimirescu Tudor,Vladimirescu Tudor,f0c601c3-6416-4aa9-809b-5ea082b4e998
835,Tulcea,Tulcea,str.,,Mehala Ii,"A2,B1,B2",Gruin Arcadie,Gruin Arcadie,Arcadie Gruin,Pictorul Grigorescu,1dae9f06-6214-4605-9049-98f20188e793
837,Turda,Turda,str.,,Modern,"H1, H2",Scortean,Scortean,Sepeţean,Scortean,a97f490f-81e6-4df4-a90f-b1b464965001
839,Turnu Roşu,Turnu Roşu,str.,,Mehala Ii,A3,,,,,45e7842b-da67-4416-9a00-be729b178bf5
1222,Ţebea,Ţebea,str.,,Blaşcovici,"A4, B4",,,,,7979cca2-7687-49a9-a634-7a99b805bf48
268,Ţepeş Vodă,Doiceşti,piaţă,HCJ 23/1993,Cetate,"D3, D4",,Ţepeş Vodă,,Ţepeş Vodă,a15d2028-4c36-4916-a79a-278f08714583
844,Ţibleşului,Ţibleşului,str.,,Lunei,"G4, G5",Hohănescu Nicolae,Cimitirului(Dionisie),Cimitirului(Dionisie),Cimitirului(Dionisie),41ca119d-bba7-4954-a399-c777122a3c7f
847,Ulmului,Ulmului,str.,,Circumv.Ii-Iv,C2,,,,,d64dd38b-5add-428f-bb86-d5a923b57781
849,Ulpia Traiana,Ulpia Traiana,str.,,"Rusu Şireanu,Miloia","D7, D9",Ulpia Traiana,Ulpia Traiana,Ulpia Traiana,Ulpia Traiana,18e91746-0488-4977-84e2-ec93c3914dd9
850,Umbrei,Umbrei,str.,,Ronaţ,Z4,Umbrei,Umbrei,Umbrei,Umbrei,3efbcac5-a834-4789-b46f-05b7fbd1f0cb
848,Umbroasă,Umbroasă,intr.,,Circumv.Ii-Iv,"C2,C3",,,,,adfaea43-ccca-496b-b213-2f642bff5aad
852,Unirii,Unirii,piaţă,,Cretate,D3,Unirii,Unirii,Unirii,Unirii,d00011f9-795c-4421-ae89-f71fb452fb8d
853,Uranus,Uranus,str.,,Spital,"F7, F8",,,,,fe236fa2-f442-4b76-bae5-e3e8133aa6d1
855,Urseni,Urseni,cale,,Urseni Venus Ciarda R.,"G8,G9,G10",Urseni,,,,33a14f35-568e-4584-aae5-a721cd2f7f59
858,Uzinei,Uzinei,str.,,Crişan,G3,Uzinei,Uzinei,Uzinei,Uzinei,6fd85ea2-4fc4-4da0-8115-058bc2dfd6a7
859,Vadul Călugăreni,Vadul Călugăreni,str.,,"Rusu Şireanu,Miloia",C7,Vadul Călugăreni,Vadul Călugăreni,Vadul Călugăreni,Vadul Călugăreni,57154aa9-8aed-4b4e-8ebf-7b8c6b9f378a
860,Vadul Crişului,Vadul Crişului,str.,,Ronaţ,"Z3, Z4",Vadul Crişului,Vadul Crişului,Vadul Crişului,Vadul Crişului,2a2b7d84-37f5-4205-87b2-370685321a63
893,Vâlcea,Vâlcea,str.,,Stadion,E6,Medea,Medea,Medea,Medea,36de08a4-1756-4bc9-80ce-e2091ce4fc21
115,Valeriu Branişte,Branişte Valeriu,str.,,Medicinei,E3,Branişte Valeriu,Branişte Valeriu,,Branişte Valeriu,f51efcc5-d41b-4595-9c6e-47234aead655
894,Vânătorilor,Vânătorilor,str.,,"Fratelia, Miloia","D9, D10",,,,,c413ba79-e52d-4b87-8695-ec4cbe1e228b
1908,Vântului,Vântului,intr.,,C.Martirilor,E8,,,,,caf41683-a0f0-4192-a9f0-1548e803f553
385,Vasile Adamachi,Hunedoara,piaţă,HCJ 23/1993,Piaţa Crucii,D7,,,,,12b545a1-2733-4b55-8eaf-d1d2601ce7ed
13,Vasile Alecsandri,Alecsandri Vasile,str.,,Cetate,D4,Alecsandri Vasile,Alecsandri Vasile,,,c67de0f4-666d-4934-8f21-fe210391b976
189,Vasile Cârlova,Cârlova Vasile,str.,,Tigrului,G4,Cârlova Vasile,Cârlova Vasile,,Cârlova Vasile,ccf8959f-4f4e-4c8e-b728-71183828fe05
2139,Vasile Creţu,Str. Nouă,str.,HCJ 5/2000,Câmpului,H4,,,,,486a453f-e59b-4042-8e7d-abef1e8a36cf
2266,Vasile Georgevici,Str. Nouă,str.,HCL 185/2009,Freidorf,,,,,,719c9395-7f60-4d30-86c1-c169c5d925a5
132,Vasile Goldiş,Buftea,str.,HCJ 23/1993,Medicinei,"E3, E4",Butoarca,Butoarca,,Butoarca,40994204-8568-4892-b063-652fd89a4ed4
452,Vasile Lucaci,Lucaci Vasile,str.,,Tipografilor,"E2, E3",Lucaci Vasile,Lucaci Vasile,Lucaci Vasile şi parţial P-ţa Solon,Lucaci Vasile,0435d685-9b13-4c57-934c-37b037e7d64f
463,Vasile Lupu,Lupu Vasile,str.,,Iosefin,"A7, B7",Lupu Vasile,Lupu Vasile,Lupu Vasile,Lupu Vasile,6e694f71-5570-48ae-b767-ceb6c5f54c99
2084,Vasile Mioc,Str. Nouă,str.,HCJ 5/2000,Urseni - Mureş,G10,,,,,cf7e08a7-59ac-49f3-b1f1-1be508f205a1
2220,Vasile Nicolescu,Str. Nouă,str.,HCL 182/2007,Freidorf-Şagului-Bacalbaşa,,,,,,a608fcbb-e9d1-4d25-ac9e-1779d321111a
610,Vasile Pârvan,Pârvan Vasile,bv.,,Campus Universitar,"D5, E5",Leonte Filipescu,Leonte Filipescu,Leonte Filipescu,Leonte Filipescu,7fad0058-d7d6-43d7-be88-dd0cf85af961
2108,Vasile Voiculescu,Str. Nouă,str.,HCL 68/2003,Mureş Muzicescu,,,,,,fac3c342-2efc-4d35-b9f3-a78077cbce29
